Year,Number of votes,Title,Screenwriter,Gender,Description,Agency,Agents,Management,Managers,Producer,Financier
2008,67,THE BEAVER,Kyle Killen,M,"Walter Black, a depressed toy manufacturer, loses his family and his business. But then Walter tries on a hand puppet—a chatty British rodent called The Beaver”—and his personality is transformed. It’s all good at first, but things turn ugly when the puppet won’t let go.",WME,Cliff Roberts,Anonymous Content,Keith Redmon,Anonymous Content,
2008,61,THE ORANGES,Jay Reiss & Ian Helfer,M,Two New Jersey families are thrown into comic turmoil when the prodigal daughter returns for Christmas and falls in love with her parents’ best friend.,"CAA, Gersh","Spencer Baumgarten, Greg McKnight, Jessica Matthews, Sandra Lucchesi, Eric Garfinkel,Frank Wuliger","Mosaic Media Group, Principal Entertainment","Paul Nelson, Jimmy Miller, Ilan Breil, Danny Sherman",A Likely Story,Media Rights Capital
2008,44,BUTTER,Jason Micallef,M,"Destiny, a black foster child, faces off against Iowa’s reigning dairy diva, the beautiful but venal Laura Pickler, in an epic butter-carving competition for the ages.",Endeavor,"Phil D’amecourt, Rich Cook",Washington Square Arts,Josh McGuire,Michael De Luca,
2008,42,BIG HOLE,Michael Gilio,M,"Lee, an old, grumpy ex-cowboy, loses $30,000 to a fraudulent sweepstakes company and sets out to punish those responsible. Lee’s son, the local sheriff, is charged with stopping him.",UTA,Julien Thuan,Industry Entertainment ,Eryn Brown,Aversano Films,
2008,40,THE LOW DWELLER,Brad Ingels,M,"Charlie Slim” Hendrick, a don’t-eff-with-me ex-con, returns home to find that his sweetie has moved on and his bitter brother has gambling debts. When a disfigured, dog-loving thug beats his sibling to death, Slim seeks vengeance.",WME ,"Mike Esola, Rob Carlson",Energy Entertainment ,"Brooklyn Weaver, Adam Marshall","Scott Free Productions, Energy Entertainment, Appian Way",Relativity
2008,39,FUCKBUDDIES,Liz Meriwether,F,"Emma and Adam have the best relationship ever! They’re twentysomething pals who, you know, do it. A lot. But then Adam goes and falls in love with Emma and ruins everything. Can their perfect non-union survive?",WME ,Cliff Roberts,,,Montecito Picture Company,
2008,34,WINTER’S DISCONTENT,Paul Fruchbom,M,"After the death of his wife of more than 50 years, irrepressible horndog Herb Winter sets out, at age 75, to find sexual fulfillment with another woman. Or, if possible, several",UTA,"Jon Huddle, David Kramer, Adam Weinstein",Circle of Confusion,Kemper Donovan,Atlas Entertainment,Sony
2008,29,BROKEN CITY,Brian Tucker,M,"The New York mayor asks private eye Billy Taggart to find out if the mayor’s wife is cheating on him. She is, with the campaign director of the mayor’s political rival, no less, who soon turns up dead. Did Billy’s investigation lead to murder?",Endeavor,Sarah Lemkin,Mr. Mudd,Mandate,,
2008,24,I’M WITH CANCER,Will Reiser,M,"Adam, a 25-year-old single Jewish dude, is diagnosed with spinal cancer. Hilarity ensues. Seriously.",UTA,Blair Kohan,Thruline Entertainment ,"Jodi Lieberman, Willie Mercer","Seth Rogen, Evan Goldberg, Ben Karlin",Mandate
2008,22,OUR BRAND IS CRISIS,Peter Straughan,M,A team of American political operatives moves to Bolivia to take on a flailing presidential campaign. Loosely based on the 2006 documentary of the same name.,CAA,Brian Siberell,,,Smoke House,Warner Brothers
2008,21,INGLORIOUS BASTERDS,Quentin Tarantino,M,"American soldiers, French peasants, French resistance, and Nazis collide in Hitler-occupied France.",WME,Mike Simpson,,,Lawrence Bender Productions,"Universal Pictures, The Weinstein Company"
2008,20,UNTITLED VANESSA TAYLOR PROJECT,Vanessa Taylor,F,"After thirty years of marriage, a middle-aged couple attends an intense counseling weekend to decide the fate of their marriage.",UTA,"Doug Johnson, Adam Weinstein",Management 360 ,"Guymon Casady, Darin Friedman","Escape Artists, Management 360",
2008,16,GALAHAD ,Ryan Condal,M,A revisionist twist on the King Arthur legend from the knight Galahad’s perspective.,WME,Aaron Hart,Energy Entertainment ,"Brooklyn Weaver, Adam Marshall",Energy Entertainment ,The Film Department
2008,16,THE WEST IS DEAD,Andrew Baldwin,M,"During the Great Depression, a group of semi-outlaws go on the run from the law when forced to vacate a town as the Hoover dam is constructed.",CAA,"Jay Baker, Josh Krauss",Anonymous Content ,"Bard Dorros, David Kanter",,
2008,15,MANUSCRIPT,Paul Grellong,M,"A contemporary thriller about three bright, young New Yorkers with boundless literary ambition who will stop at nothing to get what they want.",CAA,Chris Till,59 Entertainment ,Marti Blumenthal,Donna Gigliotti,The Film Department
2008,15,THE TUTOR,Matthew Fogel,M,"A twenty three year old recent graduate decides, at his mother+F18s insistence, to tutor                        
his ex-girlfriend’s younger sister for the SATs.  When they begin a romantic                        
relationship, his ex-girlfriend moves back home for the summer and begins to fall back                        
in love with our anti-hero as well.”                        ",UTA,"Jason Burns, Adam Weinstein",,,Principato/Young,
2008,14,THE DESCENDANTS,"Nat Faxon, Jim Rash",M,"A newly widowed father - also one of the richest men in Oahu, Hawaii - takes off with                        
his two rebellious daughters to track down his dead wife’s ex-lover on the island of                        
Kauai.”                        ",CAA,"Jay Baker, Brian Kend",Principato/Young ,"Brian Dobbins, Paul Young",Ad Hominem,Fox Searchlight
2008,14,SUNFLOWER,Misha Green,F,"Two young women struggle to escape from and exact revenge on the deranged college                
professor who holds them hostage.”                ",Endeavor ,Susan Solomon,Niad Management ,Jennifer Graff,Vincent Newman,Sidney Kimmel Entertainment
2008,14,GOING THE DISTANCE,Geoff LaTulippe,M,A couple tries to maintain a long-distance relationship.,Gersh ,Sarah Self,Mosaic Media Group,Michael Lasker,Offspring Entertainment,New Line
2008,13,THE AMERICAN WAY,Brian Kistler,M,"Two brothers are affected by their parents’ murder, leading one to the FBI and the                
other to a life of crime.”                ",WME,"Alan Gasmer, Kimberly Bialek",,,Steve Golin,The Film Department
2008,13,NOWHERE BOY,Matt Greenhalgh,M,"The story of John Lennon’s rise from lonely, Liverpool teenager to iconic rock star.",Endeavor ,"Chris Donnelly, Elia Infascelli-Smith",,,Ecosse Films,Film Four
2008,13,RAINDROPS ALL AROUND ME,"Reed Agnew, Eli Jorne",M,"A socially awkward high school teacher learns to ""dumb it down"" in order to fit in                
with those around him.”                ",ICM ,Harley Copen,Underground Films and Management ,Oly Obst,Red Hour Films,Universal
2008,13,"SEQUELS, REMAKES, & ADAPTATIONS",Sam Esmail,M,"The outlandish journey of a young man in search of love and what he’s meant to do with                        
his life.”                        ",WME ,Mike Esola,Energy Entertainment ,"Brooklyn Weaver, Adam Marshall",WAM Films,
2008,12,A COUPLE OF DICKS,"Mark Cullen, Robb Cullen",M,"Two veteran LAPD detectives attempt to track down a stolen, mint-condition, 1952                
baseball card that one of the detectives hopes to sell in order to pay for his                
daughter’s upcoming wedding.”                ",WME,Cliff Roberts,,,Marc Platt Productions,Warner Brothers
2008,12,GAY DUDE,Alan Yang,M,"A comedy about the friendship of two high school seniors that’s torn apart after one                
comes out of the closet.”                ",WME,Mike Esola,,,,
2008,12,THE MANY DEATHS OF BARNA JAMES,Brian Nathanson,M,"A teenage apprentice in a macabre circus for the dead yearns to bring his true love
back to life, but not before encountering the many dangerous and mysterious gothic
characters that stand in his way.”",CAA,"Jay Baker, Jessica Matthews",Benderspink,"Jill McElroy, Langley Perer",,
2008,12,UNDERAGE,"Scott Neustadter, Michael Weber",M,"A seventeen-year-old seduces a twentysomething man and then blackmails him into being
her boyfriend in order to exact revenge on her high school aged ex.”",CAA,"Bill Zotti, Jessica Matthews",Kaplan/Perrone Entertainment ,"Aaron Kaplan, Justin Killion, Sean Perrone",Montecito Picture Company,Paramount
2008,11,CODE NAME VEIL,Matt Billingsley,M,"Based on actual events. A young CIA agent struggles to maintain his morality while
navigating dangerous and absurd conditions in 1980s Beirut.”",UTA,"Charlie Ferraro, Adam Weinstein",Industry Entertainment,"Eryn Brown, Jess Rosenthal","Stacy Cohen, Kristin Harms",
2008,11,EVERYTHING MUST GO,Dan Rush,M,"A relapsed alcoholic loses his job and his wife and decides to live on his front lawn
while selling all of his belongings in a yard sale.”",ICM,"Todd Hoffman, David Unger",Management 360,Guymon Casady,Temple Hill,
2008,11,THE FOURTH KIND,Olatunde Osunsanmi,M,"A woman investigates an extraordinary number of unexplained disappearances from one
small town in Alaska.”",Endeavor,"Sarah Lemkin, Phil Raskind",Caliber Media,Dallas Sonnier,,Gold Circle Films
2008,11,FOXCATCHER,"E Max Frye, Dan Futterman",M,"Based on the true story of John du Pont, a paranoid schizophrenic who was heir to the
du Pont fortune.  After building a wrestling training facility named Team Foxcatcher on
his Pennsylvania estate, Du Pont shot and killed Olympic gold medal-winning grappler
David Schulz.”",Endeavor,"Tom Strickler, Adriana Alberghetti",Principal Entertainment ,Larry Taube,"Grandview Pictures, Bennett Miller",Media Rights Capital
2008,11,THE PHANTOM LIMB,Kevin Koehler,M,"A troubled private detective uncovers a blackmail scam involving a gangster who runs a
brothel that caters to amputee fetishes (and other taboo sexual interests) and the
doctor who performs the body modifications.”",Endeavor,"Rich Cook, David Karp",Mosaic Media Group,Brent Lilley,John Cameron,
2008,10,THE APOSTLES OF INFINITE LOVE,Victoria Strouse,F,"When an upper class dysfunctional New York family learn their youngest daughter has
joined a cult in the midwest, they recruit a cult deprogrammer and go on the road to
save her while both parents and siblings confront their issues with one another.”",Endeavor,"Adam Levine, Bryan Besser",Anonymous Content,Michael Sugar,Red Hour Films,
2008,10,THE F-WORD,Elan Mastai,M,Two best friends struggle with falling in love without ruining the bond between them.,Gersh,"Frank Wuliger, Greg Pedicin",Principato/Young,"Paul Young, Dave Rosenthal","Mark Stevenson, Ford Oelman, Mark Costa",Fox Searchlight
2008,10,UP IN THE AIR ,Jason Reitman,M,"A ruthless human resources executive, whose job is to fire people, looks forward to
the only joy he has in life, his millionth frequent flyer mile, a goal he pursues with
zeal as the rest of his life falls apart around him because he is constantly on the
road.”",WME,"Jeff Gorin, David Lonner",,,"Montecito Picture Company, Hard C Productions",Paramount
2008,9,BACHELORETTE,Leslye Headlan,F,"Ten years out of high school, three unhappy single friends come together as
bridesmaids at a classmate's wedding, get drunk, get high, and trash the wedding dress
while romancing new and old loves and settling old business.”",UTA,"Rebecca Ewing, Yuli Masinovsky",Caliber Media,"Max Roman, Dallas Sonnier",Mark Gordon,
2008,9,JONNY QUEST,Dan Mazeau,M,"Young Jonny Quest travels the world with his scientist father, adopted brother from
India, Bandit the bulldog, and a government agent assigned to protect them while they
investigate scientific mysteries.”",Gersh,David Kopple,Circle of Confusion,"David Alpert, Ashley Berns","Lin Pictures, Adrian Askarieh, Daniel Alter",Warner Brothers
2008,9,THE KARMA COALITION,Shawn Christenson,M,"A professor embarks on a quest to uncover the truth behind his wife's death before the
world ends.”",Endeavor,Bryan Besser,Caliber Media ,Dallas Sonnier,Lin Pictures,Warner Brothers
2008,9,KEIKO,Elizabeth Wright Shapiro,F,"A white teenage girl, who was adopted and raised in Japan by Japanese parents, travels
to America to find her long lost father, comedian Dana Carvey.”",UTA,"Tobin Babst, Blair Kohan",Industry Entertainment,Jess Rosenthal,,
2008,9,KNIGHTS,"Nick Confalone, Neal Dusedau",M,"A kickass British adventure where knighted celebrities (an entrepreneur, a soccer
player, a musician, and an actor) are called upon to defend their country.”",,,3 Arts Entertainment,Greg Walter,,
2008,9,TWENTY TIMES A LADY,"Gabrielle Allan, Jennifer Crittenden",F,"Based on the book by Karyn Bosnak.  After realizing that she has had twice as many
sexual partners as the national average, Ally swears off new guys and decides to go
back and visit the previous twenty guys and find out if she overlooked anyone.”","UTA, CAA","Rebecca Ewing, Blair Kohan, Bill Zotti, Jeff Jacobs",,,Contrafilm,Sony
2008,8,CLEAR WINTER NOON,John Kolvenbach,M,"A hit man released from jail in his seventies tries to make amends for the innocent
life he took.”",UTA,"Shana Eddy, Yuli Masinovsky, Jason Burns",3 Arts Entertainment,Tom Lassally,"2929 Productions. 2929 Productions, 3 Arts Entertainment",
2008,8,FIERCE INVALIDS HOME FROM HOT CLIMATES,Eric Aronson,M,"Based on the novel by Tom Robbins. An irascible, world-weary CIA operative is duped by
his boss into helping re-place a listening device back in Russian hands that is vital
to spying on them.”",CAA,"Greg McKnight, Billy Hawkins",Management 360,"Guymon Casady, Darin Friedman","Infinitum Nihil, GK Films",Warner Brothers
2008,8,ROUNDTABLE,Brian K Vaughan,M,"In modern day, Merlin attempts to assemble a bunch of knights to battle an ancient
evil.”",CAA,Martin Spencer,,,Parkes/MacDonald Productions,Paramount
2008,7,THE AMAZING ADVENTURES OF THE MONOGAMOUS DUCK,Neeraj Katyal,M,"A writer struggling with drugs and his girlfriend’s death leaves New York for Los
Angeles where he falls in love with a teacher and straightens out his life.”",UTA,"Barbara Dreyfus, Rebecca Ewing, Julien Thuan",,,Color Force,
2008,7,THE GARY COLEMAN-EMMANUEL LEWIS PROJECT,Dan Fogelman,M,Emmanuel Lewis and Gary Coleman save the world from an evil madman,WME,Danny Greenberg,Industry Entertainment,Eryn Brown,Platinum Dunes,
2008,7,THE LAYMAN'S TERMS,Jeremy Bailey,M,"In the midst of the Great Depression, a prodigal son returns home to face his demons
and resurrect the dust bowl town he left behind.  But the arrival of a mysterious woman
soon threatens his way of life when he discovers she is being hunted by the very same
Chicago gangsters he used to run with.”",UTA,"Charlie Ferraro, Adam Weinstein",Magnet Management,Bob Sobhani,,
2008,7,THE MALLUSIONIST,"Robbie Pickering, Jace Ricci",M,"A wannabe illusionist travels cross country with his young son to compete against his
archnemesis in a Vegas magic show.”",Endeavor,"Dawn Saltzman, Bill Weinstein","Benderspink, Leverage Management","Charlie Gogolak,Gina Marcheschi",Red Hour Films,
2008,7,PLAN B,Kate Angelo,F,A woman sets out to be artificially inseminated and falls in love.”,UTA,"Jason Burns, Adam Weinstein",,,Escape Artists,CBS Films
2008,7,WHAT IS LIFE WORTH?,Max Borenstein,M,"Based on the memoir of Kenneth Feinberg, a dramatization of his involvement in the
9/11 victims compensation fund.”",WME,Alan Gasmer,Anonymous Content ,"Bard Dorros, Adam Kossack",Michael De Luca,
2008,6,ACOD: ADULT CHILDEN OF DIVORCE,"Ben Karlin, Stu Zicherman",M,A grown man finds himself still caught in the crossfire of his parents’ divorce.”,"UTA, WME ","Blair Kohan, David Lubliner",3 Arts Entertainment,David Miner,"Cohen Films, Ben Karlin",Miramax
2008,6,BAD TEACHER,"Lee Eisenberg, Gene Stupnitsky",M,"After being dumped by her boyfriend, a foul-mouthed, gold-digging seventh-grade
teacher sets her sights on a colleague who is dating the school’s model teacher.”",WME,"Jeff Gorin, Aaron Hart",Mosaic Media Group,"Michael Lasker, Jimmy Miller",The Miller Company,Sony
2008,6,THE BIRTHDAY PARTY,Charles Randolph,M,"The true story of former Assistant United States attorney Stanley Alpert’s kidnapping
by petty thieves and how he bonded with them in a Queens, NY apartment in 1998.”",CAA,"Rowena Arguelles, Risa Gertner",Brillstein Entertainment Partners,Margaret Riley,Paula Wagner,
2008,6,CHILD 44,Richard Price,M,"Based on the novel by Tom Rob Smith.  An officer in Stalinist Russia’s secret police
is framed by a colleague for treason.  While on the run with his wife, he stumbles upon
a series of child murders and launches his own rogue investigation.”",CAA,Bob Bookman,,,Scott Free Productions,Fox 2000
2008,6,EASY A,Bert Royal,M,"A good-natured high school student uses the rumor mill to personal advantage by
pretending to be the school slut.”",Paradigm,"Trevor Astbury, Valarie Phillips",,Dana Jackson,Olive Bridge Entertainment,Screen Gems
2008,6,GIANTS,Eric Nazarian,M,"A teenager with Marfan Syndrome comes to terms with his estranged father, his
overworked mother, and the possibility that he very well might die during his upcoming
procedure.”",CAA,"Alex Lerner, Stuart Manashil",The Arlook Group ,Jon Wolff,Lynette Ramirez,
2008,6,GRAND THEFT AUTO,Jason Dean Hall,M,"Facing foreclosure on his repo yard, a young ex-con resumes a life of crime only to
get blamed when his uncle’s coke deal gets hijacked.  Caught in double crosses between
Russian mafia, Yakuza, and the ATF, the young ex-con kidnaps a crime boss’s daughter
and steals car after car on a Vegas bound suicide mission to retrieve the stolen
drugs.”",CAA,"Jay Baker, Greg McKnight",Management 360,Darin Friedman,"Stuart Parr, Roger Corman, Paul Rosenberg",Fox Atomic
2008,6,HELP ME SPREAD GOODNESS,Mark Friedman,M,"When an email predator dupes a man out of his son’s college fund, the man travels to
Nigeria to confront those who ripped him off.”",UTA,"Charlie Ferraro, Rio Hernandez",Chad Snopek Management,Chad Snopek,Participant Productions,
2008,6,INFERNO: A LINDA LOVELACE STORY,Matt Wilder,M,"The story of Linda Lovelace, the first mainstream porn star who eventually overcame
her past, found happiness in suburbia and led a crusade to stop pornography.”",CAA,"Brian Kend, Jay Baker",Brillstein Entertainment Partners,Missy Malkin,,
2008,6,LONDON BOULEVARD,William Monahan,M,"Based on the book by Ken Fruen.  Fresh out of prison, Mitchell lands a legitimate job
as a handyman for a rich actress who's eager to reward him with cash, cars, and sex.
But Mitchell can never truly escape his violent past or the dangerous world of loan
sharks, drug addicts and other bottomfeeders.”",Endeavor,Chris Donnelly,,,"Quentin Curtis, William Monahan",
2008,6,MEMOIRS,Will Fetters,M,"Two college students who’ve experienced recent loss fall in love and heal their
fractured families.”",Endeavor,"Elia Infascelli-Smith, Sarah Lemkin",Underground Films and Management ,"Trevor Engelson, Nick Osborne, Oly Obst",Underground Films,
2008,6,SHRAPNEL,Evan Daugherty,M,Two mortal enemies square off on a hunting trip to the death.”,UTA,"Tobin Babst, Rio Hernandez",Energy Entertainment,"Brooklyn Weaver, Jake Wagner",,
2008,6,YOUR DREAMS SUCK,"Kat Dennings, Geoffrey Litwak",B,"An awkward teen with no self esteem regains his self-confidence after joining a Dance
Dance Revolution team.”",CAA,Jessica Matthews,Management 360,Nicole King,DiNovi Pictures,
2008,5,AFTER HAILEY,Scott Frank,M,"Based on the novel by Jonathan Tropper. After a twentysomething man’s older wife dies,
he remains in suburbia and struggles to raise her teenage son from a previous
marriage.”",CAA,"Beth Swofford, Maha Dakhil, Bob Bookman",,,Michaels Goldwyn,Paramount
2008,5,THE BLADE ITSELF,Aaron Stockard,M,"Based on the novel by Marcus Sakey.  Two former childhood friends, who made their
reputation committing petty crimes, are reunited years later, forcing one of them to
decide how far he will go to protect his past.”",Endeavor,Elia Infascelli-Smith,,,"Idealogy, Inc.",Miramax
2008,5,BROTHERHOOD OF THE ROSE,Adam Cozad,M,"Two orphans, raised by a CIA operative to be assassins, become targets themselves.”",WME,"Jeff Gorin, Aaron Hart",The Gotham Group,Jeremy Bell,Thunder Road,Warner Brothers
2008,5,FRESHLY POPPED,Megan Parsons,F,"A teenage girl who works at a movie theater tries to decide to whom she wants to lose
her virginity.”",Paradigm,"Scott Henderson, Lucy Stille",Kaplan/Perrone Entertainment,Justin Killion,Escape Artists,Overture
2008,5,GAZA,Frank Deasy,M,"A British woman goes to Gaza to recover the body of her dead daughter and comes to
understand her daughter’s political ideals.”",Endeavor,Tom Strickler,,,Andy Harries,BBC Films
2008,5,GREETINGS FROM JERRY,John Killoran,M,"Jerry seems to have it all - money, women, and a ridiculously easy job as a greeting
card writer - until a tiny mistake at work unravels his life. Having lost everything he
had - but never earned - he's forced to confront who he really is and start again from
scratch.”",CAA,Jessica Matthews,,,"Rick Yorn, Terra Firma Films",
2008,5,GROWN MAN BUSINESS,Justin Britt-Gibson,M,"An older man who was a gangster in his youth returns to his neighborhood after a long
absence to find the boys who murdered the son he abandoned years previous.”",Gersh,Sean Barclay,Media Talent Group ,Chris Davey,Winkler Films,
2008,5,THE HERETIC,Javier Rodriguez,M,"The Roman Catholic Church asks a former inquisitor to assassinate rebel monk Martin
Luther.”",Gersh,"David Kopple, Greg Pedicin",Mad Hatter Entertainment,Michael Connolly,Phoenix Pictures,
2008,5,HOW TO BE GOOD,Cindy Chupack,F,"Based on the novel by Nick Hornby. A woman having second thoughts about her husband is
pleased when he begins following a guru, but when her husband invites the guru to live
with them, her point of view changes entirely.”",Endeavor,Adriana Alberghetti,,,Laura Ziskin,Miramax
2008,5,MAN OF CLOTH,Josh Zetumer,M,"When an English minister's family (wife and youngest son) are unjustly punished and
sent off to a prison colony in Australia, the minister and his oldest son travel to
Australia to re-unite the family. Upon arrival though, the minister is informed of
their death, and quickly vengeance is the only thing that can quiet his hurt.”",UTA,Jason Burns,Management 360,"Guymon Casady, Darin Friedman",Management 360,
2008,5,SLEEPING BEAUTY,Julia Leigh,F,"A haunting erotic fairy tale about Lucy, a student who drifts into prostitution and
finds her niche as a woman who sleeps, drugged, in a ‘Sleeping Beauty chamber’ while
men do to her what she can‘t remember the next morning.”",UTA,"Bec Smith, Kassie Evashevski, Julien Thuan",,,,
2008,5,THE SPELLMAN FILES,"Bob Florsheim, Josh Stolberg",M,"A family of private investigators use their gumshoe skills to crack cases and pry into
one another’s personal lives.”","Endeavor, UTA","Adriana Alberghetti, Julien Thuan",,,Laura Ziskin,Paramount
2008,5,STOP HUNTINGDON ANIMAL CRUELTY,Adam Sachs,M,"A lonely journalist finds love and inspiration in a quirky, unlikely manner - covering
the misadventures of a young boy’s ‘protest’ of an animal rights movement.”",WME,Mike Esola,Energy Entertainment,"Brooklyn Weaver, Adam Marshall","Energy Entertainment, Broken Road",Lionsgate
2008,5, A TALE OF TWO CITIES,Beau Willimon,M,"Based on the novel by Charles Dickens.  Set in Paris and London during the French
Revolution, English aristocrat Sydney Carton sacrifices his own life for his unrequited
love Lucie Manette and Frenchman Charles Darnay.”",CAA,"Chris Till, Bob Bookman",,,"Spring Creek Productions, Appian Way Productions",Warner Brothers
2008,5,UNLOCKED,Peter O'Brien,M,"A female CIA interrogator is duped into getting a terrorist to provide key information
to the wrong side, thrusting her into the middle of a plot to plan a devastating
biological attack in London.”",Original Artists,Jordan Bayer,Brillstein Entertainment Partners,Margaret Riley,"Rainmaker Films (Georgina Townsley, Paul Goldin), Di Bonaventura Pictures",
2008,5,WHAT WOULD KENNY DO?,Chris Baldi,M,"A seventeen-year-old high school kid meets a ‘hologram’ of himself at thirty-seven-
years-old and benefits from their friendship.”",WME,"Mike Esola, Ava Greenfield",Abstract Entertainment,"Josh Adler, Michael Goldberg",Winkler Films,United Artists
2008,5,THE ZERO,Stephen Chin,M,"Based on the novel by Jess Walter.  After a New York City poliecman shoots himself in
the head following the 9/11 terrorist attacks, he is assigned to work for a shadowy
agency at ‘Ground Zero’ and quickly finds himself drawn into a sinister government
plot.”",WME,"Michael Eisner, Carolyn Sivitz, Cliff Roberts",Industry Entertainment,"Rosalie Swedlin, Jess Rosenthal","John Wells, Blumhouse",
2008,4,RONIN,Chris Morgan,M,"Forty-seven samurai seek vengeance upon a regional lord who is responsible for the
death of their master.”",ICM,Emile Gladstone,,,"Stuber Productions, Walter Hamada",Universal
2008,4,BALLAD OF THE WHISKEY ROBBER,Rich Wilkes,M,Based on the book by Julian Rubinstein.”,Endeavor,Tom Strickler,Management 360,Daniel Rappaport,Infinitum Nihil,Warner Brothers
2008,4,THE BEAUTIFUL AND THE DAMNED,Hanna Weg,F,"The tumultuous and doomed love affair of Jazz Age icons F. Scott Fitzgerald and Zelda
Sayre.”",UTA,"Shana Eddy, Keya Khayatian",,,"FarFalla Films, Sandbar Pictures",The Film Department
2008,4,A BITTERSWEET LIFE,Mark L Smith,M,"A crime boss asks his trusted lieutenant to determine if his young mistress is having
an affair (and to kill her and her lover if she is.) The lieutenant confirms the affair
but, entranced by the girl, chooses to let them live.  Discovering this, the crime boss
orders the lieutenant killed, only he escapes and seeks vengeance.”",ICM,Harley Copen,,,Shady Films,Fox Atomic
2008,4,BOBBIE SUE,"Russell Sharmn, Owen Egerton, Chris Mass",M,"A hard charging female ambulance chaser becomes the face of a prestigious law firm
when an important client is sued for sexual discrimination.”",UTA,Jason Burns,Untitled Entertainment,Jennifer Levine,De Line Pictures,Warner Brothers
2008,4,BOBISM,Ben Wexler,M,"A shy college student discovers that life in one thousand years will be based on his
blog - and he has to stop aliens from the future who want him dead.”",Endeavor,Bryan Besser,,,Contrafilm,MGM
2008,4,DEADLINE,Soo Hugh,F,A discredited journalist navigates dangerous politics to find a missing aid worker.”,Endeavor ,"Dawn Saltzman, David Karp",Energy Entertainment,"Brooklyn Weaver, Adam Marshall",,
2008,4,THE DEBT,"Jane Goldman, Matthew Vaughan",B,"Based on the Israeli film HaHov.  Three Israeli Mossad agents discover that a war
criminal is still alive and set out to pursue him.”",Endeavor,Phil Raskind,Brillstein Entertainment Partners,Naren Desai,MARV Films,Miramax
2008,4,THE ENDS OF THE EARTH,Chris Terrio,M,"Based on a true story.  The controversial love affair between an oil baron and his
adopted daughter destroys the empire they built together.”",CAA,Rowena Arguelles,,,Escape Artists,
2008,4,HEARTSTOPPER,"Dan Antoniazzi, Ben Shiffrin",M,"A romantic comedy, with a serial killer.”",,,,,,
2008,4,THE HOW-TO GUIDE FOR SAVING THE WORLD,BenDavid Grabinski,M,"A loser discovers a book on how to stop an alien invasion and is thrust into action to
stop a real one.”",WME,"Aaron Hart, Cliff Roberts, Danny Greenberg",Kaplan/Perrone Entertainment ,"Justin Killion, Sean Perrone",Barry Sonnenfeld,
2008,4,I KILLED BUDDY CLOY,"Nick Garrison, Chase Pletts",M,"When a terrible act of violence shatters Ray’s hum-drum existence, his sociopath uncle
lures him down an absurd, vengeful path.”",WME,"Aaron Hart, Ben Rowe, Jeff Gorin",,,,
2008,4,JAR CITY,Michael Ross,M,"Based on the film by Baltasar Kormakur.  A police detective’s investigation of a
murder leads to the uncovering of secrets in a small town.”",Gersh,David Kopple,,,Baltasar Kormakur,Overture
2008,4,A LITTLE SOMETHING FOR YOUR BIRTHDAY,Susan Walter,F,A female clothing designer struggles to find love and success after turning thirty.”,WME,"Michael Eisner, Ava Greenfield",Untitled Entertainment,Jennifer Levine,"Anonymous Content, Jennifer Levine",
2008,4,THE MOST ANNOYING MAN IN THE WORLD,"Kevin Kopelow, Heath Seifert",M,"A man travels across the country with his annoying brother in order to get to his own
wedding.”",Endeavor,"Bill Weinstein, David Karp",,,Oops Doughnuts Productions,Walt Disney
2008,4,MOTORCADE,Billy Ray,M,"The President of the United States and his motorcade are attacked during a visit to
Los Angeles.”",ICM,Bruce Kaufman,Management 360,Guymon Casady, Parkes/MacDonald Productions,Dreamworks
2008,4,THE MURDERED AMONG US ,Lori Gambino,F,"Based on true events. Legendary filmmaker Fritz Lang contends with a mounting police
investigation into the death of his first wife, the growing threat of the Third Reich,
and a caustic relationship with his female collaborator; all leading to the production
of the film M.”",,,Luber-Roklin Entertainment,Stephen Crawford,,
2008,4,ONCE UPON A TIME IN HELL,"Brian McGreevy, Lee Shipman",M,"A gritty, contemporary retelling of THE COUNT OF MONTE CRISTO set in the underworld of
the Hell’s Kitchen Irish mob.”",Paradigm,"Valarie Phillips, Trevor Astbury",Mad Hatter Entertainment,Michael Connolly,Mad Hatter Entertainment,
